cycle theoreticalDist theoreticalMaxDist average standardDeviation
47 7.87853 18.5512 7.87838 0.451404
48 7.90581 18.835 7.90567 0.454222
49 7.93147 19.1152 7.93131 0.456885
50 7.95558 19.3917 7.95542 0.459402
firstSpeed 0.6
1 0.6 0.63 0.600008 0.0122472
2 1.164 1.25181 1.16402 0.0263915
3 1.69416 1.86554 1.6942 0.0425555
4 2.19251 2.47128 2.19258 0.0600313
5 2.66096 3.06916 2.66105 0.0783358
6 3.1013 3.65926 3.10143 0.0971347
7 3.51522 4.24169 3.51538 0.116167
8 3.90431 4.81655 3.90448 0.135232
9 4.27005 5.38393 4.27023 0.154184
10 4.61385 5.94394 4.61404 0.172909
11 4.93702 6.49667 4.93723 0.191302
12 5.2408 7.04221 5.24102 0.209314
13 5.52635 7.58066 5.52659 0.226889
14 5.79477 8.11211 5.79502 0.24399
15 6.04708 8.63666 6.04736 0.260586
16 6.28426 9.15438 6.28455 0.276653
17 6.5072 9.66537 6.5075 0.292173
18 6.71677 10.1697 6.71707 0.30713
19 6.91376 10.6675 6.91407 0.321527
20 7.09894 11.1588 7.09925 0.335368
21 7.273 11.6438 7.27333 0.348651
22 7.43662 12.1224 7.43695 0.361386
23 7.59042 12.5948 7.59077 0.373578
24 7.735 13.0611 7.73536 0.385243
25 7.8709 13.5213 7.87127 0.396391
26 7.99864 13.9755 7.99902 0.407037
27 8.11873 14.4238 8.11912 0.417195
28 8.2316 14.8663 8.23201 0.426882
29 8.33771 15.3031 8.33813 0.436109
30 8.43744 15.7341 8.43788 0.444895
31 8.5312 16.1596 8.53164 0.453258
32 8.61933 16.5795 8.61978 0.461215
33 8.70217 16.994 8.70263 0.468778
34 8.78004 17.403 8.78051 0.475964
35 8.85323 17.8068 8.85371 0.482791
36 8.92204 18.2053 8.92252 0.489272
37 8.98672 18.5986 8.98721 0.495421
38 9.04751 18.9869 9.04801 0.501257
39 9.10466 19.37 9.10517 0.50679
40 9.15838 19.7482 9.15889 0.512035
41 9.20888 20.1215 9.2094 0.517006
42 9.25635 20.4899 9.25687 0.521713
43 9.30097 20.8536 9.30149 0.52617
44 9.34291 21.2125 9.34344 0.530388
45 9.38233 21.5667 9.38287 0.534381
46 9.41939 21.9163 9.41994 0.538159
47 9.45423 22.2614 9.45478 0.541734
48 9.48698 22.602 9.48753 0.545115
49 9.51776 22.9382 9.51832 0.54831
50 9.54669 23.27 9.54726 0.55133
firstSpeed 0.7
1 0.7 0.735 0.700014 0.0142919
2 1.358 1.46045 1.35803 0.0308138
3 1.97652 2.17646 1.97657 0.0496804
4 2.55793 2.88317 2.558 0.0700756
5 3.10445 3.58068 3.10455 0.0914222
6 3.61819 4.26914 3.61832 0.113353
7 4.10109 4.94864 4.10127 0.135559
8 4.55503 5.6193 4.55524 0.157809
9 4.98173 6.28125 4.98198 0.179916
10 5.38282 6.9346 5.38311 0.201761
11 5.75985 7.57945 5.76017 0.223234
12 6.11426 8.21591 6.11461 0.244251
13 6.44741 8.84411 6.44779 0.264762
14 6.76056 9.46413 6.76098 0.284704
15 7.05493 10.0761 7.05538 0.304053
16 7.33163 10.6801 7.33212 0.32278
17 7.59174 11.2763 7.59225 0.340861
18 7.83623 11.8647 7.83677 0.358283
19 8.06606 12.4454 8.06661 0.375039
20 8.28209 13.0186 8.28265 0.391147
21 8.48517 13.5844 8.48573 0.406615
22 8.67606 14.1428 8.67663 0.421449
23 8.85549 14.694 8.85607 0.435654
24 9.02416 15.2379 9.02474 0.449251
25 9.18272 15.7748 9.18329 0.462253
26 9.33175 16.3048 9.33233 0.474668
27 9.47185 16.8278 9.47242 0.486519
28 9.60354 17.344 9.60411 0.497812
29 9.72732 17.8536 9.72789 0.508579
30 9.84368 18.3565 9.84425 0.518833
31 9.95306 18.8528 9.95362 0.528595
32 10.0559 19.3427 10.0564 0.537883
33 10.1525 19.8263 10.1531 0.546708
34 10.2434 20.3036 10.2439 0.555092
35 10.3288 20.7746 10.3293 0.563057
36 10.409 21.2395 10.4096 0.570621
37 10.4845 21.6984 10.485 0.577797
38 10.5554 22.1513 10.5559 0.584606
39 10.6221 22.5984 10.6226 0.591061
40 10.6848 23.0396 10.6853 0.597179
41 10.7437 23.4751 10.7442 0.602976
42 10.7991 23.9049 10.7996 0.608465
43 10.8511 24.3291 10.8516 0.613662
44 10.9001 24.7479 10.9005 0.618582
45 10.9461 25.1611 10.9465 0.623237
46 10.9893 25.569 10.9898 0.627642
47 11.0299 25.9716 11.0304 0.631806
48 11.0681 26.369 11.0686 0.635744
49 11.1041 26.7612 11.1045 0.639466
50 11.1378 27.1483 11.1383 0.642985
firstSpeed 0.8
1 0.8 0.84 0.799997 0.0163202
2 1.552 1.66908 1.55198 0.0351797
3 2.25888 2.48738 2.25887 0.0567339
4 2.92335 3.29505 2.92335 0.080022
5 3.54795 4.09221 3.54795 0.104418
6 4.13507 4.87901 4.13507 0.129479
7 4.68697 5.65558 4.68696 0.154864
8 5.20575 6.42206 5.20573 0.180301
9 5.6934 7.17858 5.69338 0.2056
10 6.1518 7.92525 6.15177 0.230612
11 6.58269 8.66223 6.58264 0.255194
12 6.98773 9.38962 6.98765 0.279253
13 7.36847 10.1076 7.36836 0.302713
14 7.72636 10.8162 7.72622 0.325538
15 8.06278 11.5155 8.06261 0.347679
16 8.37901 12.2058 8.37882 0.369094
17 8.67627 12.8872 8.67604 0.389771
18 8.95569 13.5596 8.95543 0.409711
19 9.21835 14.2234 9.21806 0.428907
20 9.46525 14.8785 9.46492 0.447347
21 9.69734 15.525 9.69699 0.465052
22 9.9155 16.1632 9.91512 0.482024
23 10.1206 16.7931 10.1202 0.498276
24 10.3133 17.4148 10.3129 0.513828
25 10.4945 18.0284 10.4941 0.528697
26 10.6649 18.634 10.6644 0.542898
27 10.825 19.2318 10.8245 0.556445
28 10.9755 19.8218 10.975 0.569364
29 11.1169 20.4041 11.1164 0.581674
30 11.2499 20.9788 11.2494 0.593397
31 11.3749 21.5461 11.3744 0.604557
32 11.4924 22.106 11.4918 0.615176
33 11.6029 22.6586 11.6023 0.625271
34 11.7067 23.2041 11.7061 0.634863
35 11.8043 23.7424 11.8037 0.643979
36 11.8961 24.2738 11.8954 0.652631
37 11.9823 24.7982 11.9816 0.66084
38 12.0634 25.3158 12.0626 0.668629
39 12.1396 25.8267 12.1388 0.676017
40 12.2112 26.331 12.2104 0.683016
41 12.2785 26.8287 12.2778 0.689649
42 12.3418 27.3199 12.341 0.695931
43 12.4013 27.8047 12.4005 0.70188
44 12.4572 28.2833 12.4564 0.707512
45 12.5098 28.7556 12.509 0.712841
46 12.5592 29.2218 12.5584 0.717884
